,sample,type,habitat,location
,NCL06_2023-06-02,Aud,C,west
,NCL06_2023-06-03,Aud,C,west
,NCL06_2023-06-04,Aud,C,west
,NCL06_2023-06-06,Aud,C,west
,NCL06_2023-06-07,Aud,C,west
,NCL06_2023-06-08,Aud,C,west
,NCL06_2023-06-09,Aud,C,west
,NCL06_2023-06-10,Aud,C,west
,NCL06_2023-06-11,Aud,C,west
,NCL06_2023-06-12,Aud,C,west
,NCL06_2023-06-13,Aud,C,west
,NCL06A_2023-05-07,Cam,C,west
,NCL06A_2023-05-29,Cam,C,west
,NCL06A_2023-05-30,Cam,C,west
,NCL06A_2023-06-04,Cam,C,west
,NCL06A_2023-06-06,Cam,C,west
,NCL06A_2023-06-09,Cam,C,west
,NCL06A_2023-06-11,Cam,C,west
,NCL06A_2023-06-19,Cam,C,west
,NCL06A_2023-06-26,Cam,C,west
,NCL06B_2023-05-14,Cam,C,west
,NCL06B_2023-05-26,Cam,C,west
,NCL06B_2023-05-28,Cam,C,west
,NCL06B_2023-05-29,Cam,C,west
,NCL06B_2023-05-30,Cam,C,west
,NCL06B_2023-05-31,Cam,C,west
,NCL06B_2023-06-01,Cam,C,west
,NCL06B_2023-06-03,Cam,C,west
,NCL06B_2023-06-07,Cam,C,west
,NCL06B_2023-06-14,Cam,C,west
,NCL06B_2023-06-16,Cam,C,west
,NCL06B_2023-06-18,Cam,C,west
,NCL06B_2023-06-21,Cam,C,west
,NCL06B_2023-06-26,Cam,C,west
,NCL06B_2023-06-27,Cam,C,west
,NCL06B_2023-06-28,Cam,C,west
,NCL06B_2023-06-30,Cam,C,west
,NCL07_2023-05-01,Aud,B,west
,NCL07_2023-05-02,Aud,B,west
,NCL07_2023-05-03,Aud,B,west
,NCL07_2023-05-04,Aud,B,west
,NCL07_2023-05-05,Aud,B,west
,NCL07_2023-05-06,Aud,B,west
,NCL07_2023-05-07,Aud,B,west
,NCL07_2023-05-08,Aud,B,west
,NCL07_2023-05-09,Aud,B,west
,NCL07_2023-05-10,Aud,B,west
,NCL07_2023-05-11,Aud,B,west
,NCL07_2023-05-12,Aud,B,west
,NCL07_2023-05-13,Aud,B,west
,NCL07_2023-05-14,Aud,B,west
,NCL07_2023-05-15,Aud,B,west
,NCL07_2023-05-16,Aud,B,west
,NCL07_2023-05-17,Aud,B,west
,NCL07_2023-05-18,Aud,B,west
,NCL07_2023-05-19,Aud,B,west
,NCL07_2023-05-20,Aud,B,west
,NCL07_2023-05-21,Aud,B,west
,NCL07_2023-05-22,Aud,B,west
,NCL07_2023-05-23,Aud,B,west
,NCL07_2023-05-24,Aud,B,west
,NCL07_2023-05-25,Aud,B,west
,NCL07_2023-05-26,Aud,B,west
,NCL07_2023-05-27,Aud,B,west
,NCL07_2023-05-28,Aud,B,west
,NCL07_2023-05-29,Aud,B,west
,NCL07_2023-05-30,Aud,B,west
,NCL07_2023-05-31,Aud,B,west
,NCL07_2023-06-01,Aud,B,west
,NCL07_2023-06-02,Aud,B,west
,NCL07_2023-06-03,Aud,B,west
,NCL07_2023-06-04,Aud,B,west
,NCL07_2023-06-06,Aud,B,west
,NCL07_2023-06-07,Aud,B,west
,NCL07_2023-06-08,Aud,B,west
,NCL07_2023-06-09,Aud,B,west
,NCL07_2023-06-10,Aud,B,west
,NCL07_2023-06-11,Aud,B,west
,NCL07_2023-06-12,Aud,B,west
,NCL07_2023-06-13,Aud,B,west
,NCL07_2023-06-15,Aud,B,west
,NCL07A_2023-05-04,Cam,B,west
,NCL07A_2023-05-08,Cam,B,west
,NCL07A_2023-05-10,Cam,B,west
,NCL07A_2023-05-15,Cam,B,west
,NCL07A_2023-05-16,Cam,B,west
,NCL07A_2023-05-21,Cam,B,west
,NCL07A_2023-05-22,Cam,B,west
,NCL07A_2023-05-23,Cam,B,west
,NCL07A_2023-05-24,Cam,B,west
,NCL07A_2023-05-30,Cam,B,west
,NCL07A_2023-06-01,Cam,B,west
,NCL07A_2023-06-02,Cam,B,west
,NCL07A_2023-06-03,Cam,B,west
,NCL07A_2023-06-04,Cam,B,west
,NCL07A_2023-06-05,Cam,B,west
,NCL07A_2023-06-06,Cam,B,west
,NCL07A_2023-06-07,Cam,B,west
,NCL07A_2023-06-08,Cam,B,west
,NCL07A_2023-06-10,Cam,B,west
,NCL07A_2023-06-11,Cam,B,west
,NCL07A_2023-06-12,Cam,B,west
,NCL07A_2023-06-19,Cam,B,west
,NCL07A_2023-06-23,Cam,B,west
,NCL07A_2023-06-25,Cam,B,west
,NCL07A_2023-06-26,Cam,B,west
,NCL07A_2023-06-30,Cam,B,west
,NCL07B_2023-05-04,Cam,B,west
,NCL07B_2023-05-05,Cam,B,west
,NCL07B_2023-05-06,Cam,B,west
,NCL07B_2023-05-07,Cam,B,west
,NCL07B_2023-05-09,Cam,B,west
,NCL07B_2023-05-10,Cam,B,west
,NCL07B_2023-05-12,Cam,B,west
,NCL07B_2023-05-13,Cam,B,west
,NCL07B_2023-05-16,Cam,B,west
,NCL07B_2023-05-18,Cam,B,west
,NCL07B_2023-05-20,Cam,B,west
,NCL07B_2023-05-22,Cam,B,west
,NCL07B_2023-05-24,Cam,B,west
,NCL07B_2023-05-26,Cam,B,west
,NCL07B_2023-05-28,Cam,B,west
,NCL07B_2023-05-29,Cam,B,west
,NCL07B_2023-05-31,Cam,B,west
,NCL07B_2023-06-02,Cam,B,west
,NCL07B_2023-06-03,Cam,B,west
,NCL07B_2023-06-08,Cam,B,west
,NCL07B_2023-06-09,Cam,B,west
,NCL07B_2023-06-11,Cam,B,west
,NCL07B_2023-06-12,Cam,B,west
,NCL07B_2023-06-13,Cam,B,west
,NCL07B_2023-06-15,Cam,B,west
,NCL07B_2023-06-16,Cam,B,west
,NCL07B_2023-06-18,Cam,B,west
,NCL07B_2023-06-22,Cam,B,west
,NCL07B_2023-06-24,Cam,B,west
,NCL07B_2023-06-25,Cam,B,west
,NCL07B_2023-06-26,Cam,B,west
,NCL07B_2023-06-28,Cam,B,west
,NCL07B_2023-06-30,Cam,B,west
,NCL08_2023-05-01,Aud,C,west
,NCL08_2023-05-02,Aud,C,west
,NCL08_2023-05-03,Aud,C,west
,NCL08_2023-05-04,Aud,C,west
,NCL08_2023-05-05,Aud,C,west
,NCL08_2023-05-06,Aud,C,west
,NCL08_2023-05-07,Aud,C,west
,NCL08_2023-05-08,Aud,C,west
,NCL08_2023-05-09,Aud,C,west
,NCL08_2023-05-10,Aud,C,west
,NCL08_2023-05-11,Aud,C,west
,NCL08_2023-05-12,Aud,C,west
,NCL08_2023-05-13,Aud,C,west
,NCL08_2023-05-14,Aud,C,west
,NCL08_2023-05-15,Aud,C,west
,NCL08_2023-05-16,Aud,C,west
,NCL08_2023-05-17,Aud,C,west
,NCL08_2023-05-18,Aud,C,west
,NCL08_2023-05-19,Aud,C,west
,NCL08_2023-05-20,Aud,C,west
,NCL08_2023-05-21,Aud,C,west
,NCL08_2023-05-22,Aud,C,west
,NCL08_2023-05-23,Aud,C,west
,NCL08_2023-05-24,Aud,C,west
,NCL08_2023-05-25,Aud,C,west
,NCL08_2023-05-26,Aud,C,west
,NCL08_2023-05-27,Aud,C,west
,NCL08_2023-05-28,Aud,C,west
,NCL08_2023-05-29,Aud,C,west
,NCL08_2023-05-30,Aud,C,west
,NCL08_2023-05-31,Aud,C,west
,NCL08_2023-06-01,Aud,C,west
,NCL08_2023-06-02,Aud,C,west
,NCL08_2023-06-03,Aud,C,west
,NCL08_2023-06-04,Aud,C,west
,NCL08_2023-06-06,Aud,C,west
,NCL08_2023-06-07,Aud,C,west
,NCL08_2023-06-08,Aud,C,west
,NCL08_2023-06-09,Aud,C,west
,NCL08_2023-06-10,Aud,C,west
,NCL08_2023-06-11,Aud,C,west
,NCL08_2023-06-12,Aud,C,west
,NCL08A_2023-05-20,Aud,C,west
,NCL08A_2023-05-23,Aud,C,west
,NCL08A_2023-05-30,Aud,C,west
,NCL08A_2023-06-02,Aud,C,west
,NCL08A_2023-06-03,Aud,C,west
,NCL08A_2023-06-07,Aud,C,west
,NCL08A_2023-06-08,Aud,C,west
,NCL08A_2023-06-09,Aud,C,west
,NCL08A_2023-06-27,Aud,C,west
,NCL08A_2023-06-29,Aud,C,west
,NCL08A_2023-06-30,Aud,C,west
,NCL08B_2023-05-25,Cam,C,west
,NCL08B_2023-05-29,Cam,C,west
,NCL08B_2023-06-02,Cam,C,west
,NCL08B_2023-06-03,Cam,C,west
,NCL08B_2023-06-04,Cam,C,west
,NCL08B_2023-06-06,Cam,C,west
,NCL08B_2023-06-11,Cam,C,west
,NCL08B_2023-06-12,Cam,C,west
,NCL09A_2023-05-02,Cam,F,west
,NCL09A_2023-05-03,Cam,F,west
,NCL09A_2023-05-04,Cam,F,west
,NCL09A_2023-05-05,Cam,F,west
,NCL09A_2023-05-06,Cam,F,west
,NCL09A_2023-05-07,Cam,F,west
,NCL09A_2023-05-08,Cam,F,west
,NCL09A_2023-05-10,Cam,F,west
,NCL09A_2023-05-12,Cam,F,west
,NCL09A_2023-05-13,Cam,F,west
,NCL09A_2023-05-15,Cam,F,west
,NCL09A_2023-05-16,Cam,F,west
,NCL09A_2023-05-17,Cam,F,west
,NCL09A_2023-05-18,Cam,F,west
,NCL09A_2023-05-21,Cam,F,west
,NCL09A_2023-05-22,Cam,F,west
,NCL09A_2023-05-23,Cam,F,west
,NCL09A_2023-05-24,Cam,F,west
,NCL09A_2023-05-25,Cam,F,west
,NCL09A_2023-05-26,Cam,F,west
,NCL09A_2023-05-27,Cam,F,west
,NCL09A_2023-05-29,Cam,F,west
,NCL09A_2023-05-30,Cam,F,west
,NCL09A_2023-06-01,Cam,F,west
,NCL09A_2023-06-03,Cam,F,west
,NCL09A_2023-06-04,Cam,F,west
,NCL09A_2023-06-05,Cam,F,west
,NCL09A_2023-06-09,Cam,F,west
,NCL09A_2023-06-13,Cam,F,west
,NCL09A_2023-06-14,Cam,F,west
,NCL09A_2023-06-15,Cam,F,west
,NCL09A_2023-06-18,Cam,F,west
,NCL09A_2023-06-19,Cam,F,west
,NCL09A_2023-06-20,Cam,F,west
,NCL09A_2023-06-21,Cam,F,west
,NCL09A_2023-06-23,Cam,F,west
,NCL09A_2023-06-24,Cam,F,west
,NCL09A_2023-06-25,Cam,F,west
,NCL09A_2023-06-26,Cam,F,west
,NCL09A_2023-06-27,Cam,F,west
,NCL09A_2023-06-29,Cam,F,west
,NCL09B_2023-05-02,Cam,F,west
,NCL09B_2023-05-04,Cam,F,west
,NCL09B_2023-05-06,Cam,F,west
,NCL09B_2023-05-07,Cam,F,west
,NCL09B_2023-05-08,Cam,F,west
,NCL09B_2023-05-10,Cam,F,west
,NCL09B_2023-05-11,Cam,F,west
,NCL09B_2023-05-12,Cam,F,west
,NCL09B_2023-05-15,Cam,F,west
,NCL09B_2023-05-17,Cam,F,west
,NCL09B_2023-05-18,Cam,F,west
,NCL09B_2023-05-21,Cam,F,west
,NCL09B_2023-05-23,Cam,F,west
,NCL09B_2023-05-24,Cam,F,west
,NCL09B_2023-05-26,Cam,F,west
,NCL09B_2023-05-27,Cam,F,west
,NCL09B_2023-05-30,Cam,F,west
,NCL09B_2023-06-01,Cam,F,west
,NCL09B_2023-06-03,Cam,F,west
,NCL09B_2023-06-08,Cam,F,west
,NCL09B_2023-06-09,Cam,F,west
,NCL09B_2023-06-11,Cam,F,west
,NCL09B_2023-06-13,Cam,F,west
,NCL09B_2023-06-14,Cam,F,west
,NCL09B_2023-06-15,Cam,F,west
,NCL09B_2023-06-16,Cam,F,west
,NCL09B_2023-06-18,Cam,F,west
,NCL09B_2023-06-19,Cam,F,west
,NCL09B_2023-06-21,Cam,F,west
,NCL09B_2023-06-27,Cam,F,west
12,PO01_1,P,F,east
21,PO01_2,P,F,east
34,PO02_1,P,C,west
4,PO02_2,P,C,west
5,PO03_1,P,C,west
610,PO03_2,P,C,west
710,PO04_1,P,C,west
8,PO04_2,P,C,west
9,PO05_1,P,C,west
10,PO05_2,P,C,west
11,SB01_1,S,B,west
13,SB02_1,S,B,west
20,SB05_2,S,B,west
241,SB07_2,S,B,east
251,SB08_1,S,B,east
261,SB08_2,S,B,east
27,SB09_1,S,B,east
281,SB09_2,S,B,east
29,SB10_1,S,B,east
301,SB10_2,S,B,east
31,SB12_1,S,B,east
321,SB12_2,S,B,east
351,SB15_1,S,B,east
36,SB15_2,S,B,east
371,SB16_1,S,B,east
38,SB16_2,S,B,east
40,SB17_2,S,B,west
41,SC01_1,S,C,west
422,SC01_2,S,C,west
43,SC02_1,S,C,west
44,SC02_2,S,C,west
451,SC03_1,S,C,west
46,SC03_2,S,C,west
47,SC04_1,S,C,west
48,SC04_2,S,C,west
49,SC05_1,S,C,west
50,SC05_2,S,C,west
51,SC06_1,S,C,west
52,SC06_2,S,C,west
53,SC07_1,S,C,west
54,SC07_2,S,C,west
55,SC08_1,S,C,west
561,SC08_2,S,C,west
57,SC09_1,S,C,west
60,SC10_2,S,C,west
61,SC11_1,S,C,west
62,SC11_2,S,C,west
63,SC12_1,S,C,west
64,SC12_2,S,C,west
65,SC13_1,S,C,west
66,SC13_2,S,C,west
67,SC14_1,S,C,west
68,SC14_2,S,C,west
69,SC15_1,S,C,west
70,SC15_2,S,C,west
71,SF01_1,S,F,east
72,SF01_2,S,F,east
73,SF02_1,S,F,east
74,SF02_2,S,F,east
75,SF03_1,S,F,west
76,SF03_2,S,F,west
77,SF04_1,S,F,east
78,SF04_2,S,F,east
79,SF05_1,S,F,east
80,SF05_2,S,F,east
81,SF06_1,S,F,east
82,SF06_2,S,F,east
84,SF07_2,S,F,east
85,SF08_1,S,F,east
87,SF09_1,S,F,east
88,SF09_2,S,F,east
89,SF10_1,S,F,east
90,SF10_2,S,F,east
911,SF11_1,S,F,east
92,SF11_2,S,F,east
93,SF12_1,S,F,east
95,SG01_1,S,G,east
96,SG01_2,S,G,east
99,SG03_1,S,G,east
103,SG05_1,S,G,east
104,SG05_2,S,G,east
105,SG06_1,S,G,east
106,SG06_2,S,G,east
108,SG07_2,S,G,east
109,SG08_1,S,G,east
110,SG08_2,S,G,east
111,TB01,T,B,west
1122,TB02,T,B,west
113,TB03,T,B,west
114,TB04,T,B,west
116,TB06,T,B,west
117,TB07,T,B,east
118,TB08,T,B,east
119,TB09,T,B,east
120,TB10,T,B,east
121,TB12,T,B,east
122,TB14,T,B,east
124,TB15D,T,B,east
125,TB16,T,B,east
126,TB17,T,B,west
127,TC01,T,C,west
128,TC02,T,C,west
129,TC03,T,C,west
1311,TC05,T,C,west
132,TC06,T,C,west
133,TC07,T,C,west
134,TC08,T,C,west
135,TC09,T,C,west
136,TC10,T,C,west
1371,TC11,T,C,west
138,TC12,T,C,west
139,TC13,T,C,west
140,TC14,T,C,west
141,TC15,T,C,west
1421,WB01,W,B,west
143,WB01D,W,B,west
144,WB02,W,B,west
145,WB03,W,B,west
146,WB04,W,B,east
147,WB04D,W,B,east
148,WB05,W,B,east
149,WB06,W,B,east
150,WB07,W,B,east
151,WB08,W,B,east
152,WB09,W,B,east
153,WB10,W,B,east
154,WB11,W,B,east
155,WB12,W,B,east
156,WB13,W,B,east
157,WB14,W,B,west
158,WB15,W,B,west
159,WC01,W,C,west
160,WC02,W,C,west
161,WC03,W,C,west
162,WC04,W,C,west
163,WC05,W,C,west
164,WF01,W,F,east
165,WF01D,W,F,east
166,WF02,W,F,east
167,WF03,W,F,east
168,WF04,W,F,east
169,WF05,W,F,east
170,WF06,W,F,east
171,WF06D,W,F,east
172,WF07,W,F,east
173,WF08,W,F,east
174,WG01,W,G,east
175,WG02,W,G,east
176,WG03,W,G,east